category,sub_category,title,price,description,brand,sku,dimensions,image_url
Bedroom,Bed Bases,Kye Beech Wood Bed Base With Sleek Legs,"17,582 EGP",,Essentials,EsBeBe8160,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/WEDVAQCZg677NAdO5YP1bec1KXYQPiz2ckdMWRrb.jpg
Bedroom,Bed Bases,Minimalist Wooden Bed Box,"17,543 EGP",,Essentials,EsBeMi,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/3vJmEMaIJFhDoJ3Z16KsUOsrWzFMUj2M5M0KHE41.jpg
Bedroom,Bed Bases,Tatweer_ Leather bed box,"5,345 EGP",Tatweer_ Leather bed box,Customized Products,CuBeTa13417,W 160 X D 200 CM,https://dkq2tfmdsh9ss.cloudfront.net/products/2kqroYSro9SprQu5mqRnzrKEjIfiufbfv50InB7J.jpg
Bedroom,Bed Bases,Upholstered Bed Box 90,"9,655 EGP","Upgrade your bedroom with this modern upholstered bed box that combines simplicity and functionality. The fully upholstered frame offers a smooth and elegant finish, creating a clean and sophisticated look suitable for any contemporary space. The storage box underneath helps you keep your beddings and personal stuff to enjoy an organized and clutter-free room.",Masterbed,MaBeUp29371,L 200 x W 90 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/KQxzW9a8YumFxarxRLeHCBiD6toupj0KBqkstulV.jpg
Bedroom,Bed Bases,Upholstered Bed Box Drawers,"30,169 EGP",An upholstered bed base with a high-quality solid wood foundation. It features two spacious drawers for storing items and keeping the room tidy and comfortable. You can choose the fabric color to match your room décor.,Masterbed,MaBeUp21988,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/tz1PK6EmMbWvhORcFh7aGZzxkN7N4nONzkAJYF2B.png
Bedroom,Bed Bases,Wooden Bed Box (90x184 cm),"12,199 EGP",Wooden bed box that comes in a variety of wood finishes.,Customized Products,CuBeWo7463,W 90 x D 184 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/a8ZYQpMPxMFLqKH3WsMcAth2eRHSx9VKQ2ASyyNK.jpg
Bedroom,Beds,Accent Squares Upholstered Storage Bed With Drawers-drawer box,"25,184 EGP",A fully upholstered bed with high-quality fabric and equipped with side storage drawers. Available in a wide range of colors to suit your style.,Masterbed,MaBeAn22842,on Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/Szy6wDnLZYFsxR9P8WA0NIwCPBLRX4W1z1FM06nO.png
Bedroom,Beds,Aida Upholstered Bed With Sleek Headboard Light Grey,"27,986 EGP",A bed with a light gray upholstered headboard and a sturdy wooden frame with a sleek finish.,Pinocchio,PiBeAi19552,W 191 x D 210 x H 120 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/XGDyPf0SalzR7jZBDEXmk4EqSgy7DtHHT5ffSY3j.jpg
Bedroom,Beds,Aimee Grey Luxurious Bed,"9,690 EGP","The frame showcases clean lines and a low-profile silhouette, enhancing the sense of spaciousness in your bedroom. Sturdy construction ensures durability, while the enveloping upholstery of the massive wood provides a comfortable place to lean back as you unwind with a book or enjoy your morning coffee in bed. The bed is also fitted with a solid platform base, supporting your mattress without the need for a box spring. Available in several sizes.",Plume,PlBegr26931,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/nf011sAbMZSJ6mR9gqXEre0gacTJNw9w5CvZpYXL.webp
Bedroom,Beds,Alessa Upholstered Bed,"24,412 EGP",A fully upholstered bed with a curved headboard covered in luxurious beige fabric. Crafted with a durable wooden frame to ensure long-lasting use.,Pinocchio,PiBeAl19624,On selection,https://dkq2tfmdsh9ss.cloudfront.net/products/tXaUCzmSSfz3bzRbBoSpEP1PImpupzxmDIA1blIn.jpg
